"datasetName","decimalLongitude","decimalLatitude","scientificName"
"gbif",-82.618183,9.630245,"Chaetodon striatus"
"gbif",-61.72642,15.98449,"Chaetodon striatus"
"obis",-80.303,25.11183,"Chaetodon striatus"
"obis",-81.71233,24.481,"Chaetodon striatus"
"obis",-74.1286111,11.3298611,"Chaetodon striatus"
"obis",-59.6447219849,13.2227773666,"Chaetodon striatus"
"obis",-38.6996650696,-17.9613342285,"Chaetodon striatus"
"obis",-81.7338666,24.4718334,"Chaetodon striatus"
"obis",-67.891428,18.111636,"Chaetodon striatus"
"obis",-81.7312333,12.5131333,"Chaetodon striatus"
"obis",-80.4249667,24.9758,"Chaetodon striatus"
"obis",-81.9052667,24.4529833,"Chaetodon striatus"
"obis",-80.8206999,24.7274834,"Chaetodon striatus"
"obis",-29.3333339691,-20.5,"Chaetodon striatus"
"obis",-80.1800666,25.26295,"Chaetodon striatus"
"obis",-64.7837371826,18.3524150848,"Chaetodon striatus"
"obis",-80.5056166,24.9222167,"Chaetodon striatus"
"obis",-80.09217,25.58667,"Chaetodon striatus"
"obis",-75.9233889,9.7905833,"Chaetodon striatus"
"obis",-80.6231499,24.8462001,"Chaetodon striatus"
"obis",-81.34226,24.56548,"Chaetodon striatus"
"obis",-29.33922,-20.4892,"Chaetodon striatus"
"obis",-80.2686,25.1245,"Chaetodon striatus"
"obis",-80.34754,25.03345,"Chaetodon striatus"
"obis",-64.8675,18.29467,"Chaetodon striatus"
"obis",-80.2248333,25.1979167,"Chaetodon striatus"
"obis",-80.4521333,24.9548167,"Chaetodon striatus"
"obis",-64.6854476929,18.3465003967,"Chaetodon striatus"
"obis",-64.5880279541,17.7655200958,"Chaetodon striatus"
"obis",-79.869035,9.406422,"Chaetodon striatus"
"obis",-80.2428666,25.19045,"Chaetodon striatus"
"obis",-64.75862,18.24447,"Chaetodon striatus"
"obis",-81.4773,24.5286,"Chaetodon striatus"
"obis",-80.52517,24.90817,"Chaetodon striatus"
"obis",-82.96397,24.60648,"Chaetodon striatus"
