scientificName,decimalLongitude,decimalLatitude
Chaetodon striatus,-61.74444444,12.06666667
Chaetodon striatus,-72.348905,18.555116
Chaetodon striatus,-79.157395,25.238162
Chaetodon striatus,-44.25,-0.866666674614
Chaetodon striatus,-69.8873,19.6332
Chaetodon striatus,-71.5177001953,21.4832668304
Chaetodon striatus,-72.4800033569336,11.8000001907349
Chaetodon striatus,-44.407,-23.098
Chaetodon striatus,-38.448265,-16.449502
Chaetodon striatus,-79.8756484985,19.6989173889
Chaetodon striatus,-76.5999984741,33.8100013733
Chaetodon striatus,-65.819338,18.043646
Chaetodon striatus,-72.4701843262,21.6648330688
Chaetodon striatus,-69.1503295898,12.3289718628
Chaetodon striatus,-88.3442077637,22.3022727966
Chaetodon striatus,-81.9263833,24.44495
Chaetodon striatus,-79.35,29.8166667
Chaetodon striatus,-34.8167,-7.5667
Chaetodon striatus,-69,12
Chaetodon striatus,-82.7729667,24.7048
Chaetodon striatus,-76.264622,23.900471
Chaetodon striatus,-81.585899353,21.5856494904
Chaetodon striatus,-80.2680666,25.1543667
Chaetodon striatus,-82.5333367,25.6666633
Chaetodon striatus,-68.75,12.0166664124
Chaetodon striatus,-80.2583333,14.35
Chaetodon striatus,-61.473705,15.573908
Chaetodon striatus,-82.93549,24.55095
Chaetodon striatus,-77.333375,26.769066
Chaetodon striatus,-72.143951416,21.3880825043
Chaetodon striatus,-74.4557167,11.0733667
Chaetodon striatus,-87.8297195435,18.2108325958
Chaetodon striatus,-77,26.6166667938
Chaetodon striatus,-75.585069,10.308042
Chaetodon striatus,-78.7029800415,20.6355991364
Chaetodon striatus,-78.0408325195,22.4249992371
Chaetodon striatus,-79.271062,25.546335
Chaetodon striatus,-63.431273,18.59398
Chaetodon striatus,-67.93833,18.09872
Chaetodon striatus,-67.978,10.508
Chaetodon striatus,-82.3406906128,24.7805652618
Chaetodon striatus,-94.021156311,18.3952617645
Chaetodon striatus,-38.590556,-18.101944
Chaetodon striatus,-48.61666667,-27.98333333
Chaetodon striatus,-75.9833333,17.4
Chaetodon striatus,-66.7057647705,11.7663669586
Chaetodon striatus,-76.9495010376,26.0598335266
Chaetodon striatus,-87.9536972046,17.355266571
Chaetodon striatus,-42.16666667,-22.95
Chaetodon striatus,-75.3924,39.063577
Chaetodon striatus,-37.7667,-4.4333
Chaetodon striatus,-64.576709,18.470227
Chaetodon striatus,-76.458739,25.332635
Chaetodon striatus,-60.9627777778,14.075
Chaetodon striatus,-78.311630249,18.3802509308
Chaetodon striatus,-38.978611,-17.751944
Chaetodon striatus,79,9
Chaetodon striatus,-76.5916976928711,34.2916984558105
