scientificName,decimalLongitude,decimalLatitude
Chaetodon striatus,-34.7533,-8.0699
Chaetodon striatus,-77.6478805542,24.3012199402
Chaetodon striatus,-72.4800033569336,11.8000001907349
Chaetodon striatus,-48.61666667,-27.98333333
Chaetodon striatus,-66.06164,10.5805
Chaetodon striatus,-38.448265,-16.449502
Chaetodon striatus,-76.5999984741,33.8100013733
Chaetodon striatus,-39.078611,-16.897778
Chaetodon striatus,-65.819338,18.043646
Chaetodon striatus,-72.4701843262,21.6648330688
Chaetodon striatus,-88.3442077637,22.3022727966
Chaetodon striatus,-80.9019470215,23.2924995422
Chaetodon striatus,-43.78333333,-1.533333333
Chaetodon striatus,-79.35,29.8166667
Chaetodon striatus,-34.8167,-7.5667
Chaetodon striatus,-44.601,-23.063
Chaetodon striatus,-69,12
Chaetodon striatus,-76.264622,23.900471
Chaetodon striatus,-81.585899353,21.5856494904
Chaetodon striatus,-63.2280006409,17.6496658325
Chaetodon striatus,-82.5333367,25.6666633
Chaetodon striatus,-68.75,12.0166664124
Chaetodon striatus,-80.2583333,14.35
Chaetodon striatus,-61.473705,15.573908
Chaetodon striatus,-82.93549,24.55095
Chaetodon striatus,-72.173248291,21.8301506042
Chaetodon striatus,-77.333375,26.769066
Chaetodon striatus,-72.143951416,21.3880825043
Chaetodon striatus,-80.1016,24.6684
Chaetodon striatus,-78.0408325195,22.4249992371
Chaetodon striatus,-79.271062,25.546335
Chaetodon striatus,-63.431273,18.59398
Chaetodon striatus,-84.4898300171,21.8343162537
Chaetodon striatus,-67.978,10.508
Chaetodon striatus,-82.3406906128,24.7805652618
Chaetodon striatus,-94.021156311,18.3952617645
Chaetodon striatus,-80.09379,25.62117
Chaetodon striatus,-38.590556,-18.101944
Chaetodon striatus,-75.9833333,17.4
Chaetodon striatus,-80.3695167,25.01485
Chaetodon striatus,-66.7057647705,11.7663669586
Chaetodon striatus,-76.9495010376,26.0598335266
Chaetodon striatus,-42.16666667,-22.95
Chaetodon striatus,-87.9536972046,17.355266571
Chaetodon striatus,-79.9442977905,21.666683197
Chaetodon striatus,-75.3924,39.063577
Chaetodon striatus,-37.7667,-4.4333
Chaetodon striatus,-60.9994444444,14.0355555556
Chaetodon striatus,-64.576709,18.470227
Chaetodon striatus,79,9
Chaetodon striatus,-76.5916976928711,34.2916984558105
Chaetodon striatus,-77.8795166016,18.5240497589
Chaetodon striatus,-40.407,-20.7
Chaetodon striatus,-82.6907272339,27.4702758789
Chaetodon striatus,-38.1666679382,-12.75
Chaetodon striatus,-75.130469,19.936225
Chaetodon striatus,-38.548253,-12.959245
Chaetodon striatus,-80.16377,25.40387
Chaetodon striatus,-79.3630523682,22.7202777863
Chaetodon striatus,-77.6508331299,22.177778244
Chaetodon striatus,-60.8933333,14.415
Chaetodon striatus,-35.7833,-9.6
Chaetodon striatus,-66.24744,10.6524
Chaetodon striatus,-68.97967,12.218392
Chaetodon striatus,-81.353104,19.34372
Chaetodon striatus,-97.0777359009,27.280796051
Chaetodon striatus,-66.062872,17.969617
Chaetodon striatus,-82.0800018311,16.1599998474
Chaetodon striatus,-65.2483673096,18.3311004639
Chaetodon striatus,-97.7937316895,22.279958725
Chaetodon striatus,-76.9884643555,26.3977832794
Chaetodon striatus,-83.073133,24.683617
Chaetodon striatus,-82.8099975586,9.75
Chaetodon striatus,-76.443697,18.177391
Chaetodon striatus,-77,26.61666667
Chaetodon striatus,-82.3302154541,21.5487995148
Chaetodon striatus,-76.842385,25.5162
Chaetodon striatus,-80.2099990845,30.7299995422
Chaetodon striatus,-63.133333,18.216667
Chaetodon striatus,-38.873889,-17.350278
Chaetodon striatus,-87.4433364868,19.8333339691
Chaetodon striatus,-38.8833351135,-18.2999992371
Chaetodon striatus,-87.6175003052,18.9133338928
Chaetodon striatus,-81.1092,24.62337
Chaetodon striatus,-38.373845,-13.079663
Chaetodon striatus,-67.21117,18.00057
Chaetodon striatus,-80.45,30.4833333
Chaetodon striatus,-87.8837127686,21.5704536438
Chaetodon striatus,-42,-22
Chaetodon striatus,-69.542137146,19.3322200775
Chaetodon striatus,-79.836433,9.39944
Chaetodon striatus,-44.363,-23.071
Chaetodon striatus,-78.8551635742,20.7630004883
Chaetodon striatus,-61.267111,13.260568
Chaetodon striatus,-69.6029,18.4421
Chaetodon striatus,-74.390153,22.564841
Chaetodon striatus,-87.8851852417,16.7265834808
Chaetodon striatus,-44.14,-23.043
Chaetodon striatus,-83.1959838867,21.6140842438
Chaetodon striatus,-76.6897964478,18.2696342468
Chaetodon striatus,-41.65,-2.8667
Chaetodon striatus,-60.5016670227,11.3055553436
Chaetodon striatus,-97.3691329956,27.3733863831
Chaetodon striatus,-82,12.5
Chaetodon striatus,-34.9333,-6.8167
Chaetodon striatus,-77.2699966431,33.5999984741
Chaetodon striatus,-87.5333328247,19.1541671753
Chaetodon striatus,-77.5083333,33.5333333
Chaetodon striatus,-82.887260437,23.0251464844
Chaetodon striatus,-61.666667,12.116667
Chaetodon striatus,-70.7834701538,20.9859828949
Chaetodon striatus,-83.0100021362,9.98999977112
Chaetodon striatus,-48,-27.5
Chaetodon striatus,-64.3207702637,18.7493495941
Chaetodon striatus,-80.442634,23.953101
Chaetodon striatus,-63.2226676941,17.4629993439
Chaetodon striatus,-87.4630584717,20.0974998474
Chaetodon striatus,-81.9271697998,21.5957832336
Chaetodon striatus,-79.2188644409,20.9701156616
Chaetodon striatus,-71.2231369019,21.3033504486
Chaetodon striatus,-67.48715,18.39027
Chaetodon striatus,-48,-27
Chaetodon striatus,-82.435578,23.14473
Chaetodon striatus,-80.2401832,25.1697833
Chaetodon striatus,-78.9024963379,22.693611145
