scientificName,decimalLongitude,decimalLatitude
Chaetodon striatus,-78.983166,26.678721
Chaetodon striatus,-61.74444444,12.06666667
Chaetodon striatus,-72.348905,18.555116
Chaetodon striatus,-79.157395,25.238162
Chaetodon striatus,-66.08705,18.45372
Chaetodon striatus,-44.25,-0.866666674614
Chaetodon striatus,-69.8873,19.6332
Chaetodon striatus,-34.7337,-8.0788
Chaetodon striatus,-72.4800033569336,11.8000001907349
Chaetodon striatus,-44.407,-23.098
Chaetodon striatus,-48.61666667,-27.98333333
Chaetodon striatus,-38.448265,-16.449502
Chaetodon striatus,-76.5999984741,33.8100013733
Chaetodon striatus,-88.3442077637,22.3022727966
Chaetodon striatus,-43.78333333,-1.533333333
Chaetodon striatus,-79.35,29.8166667
Chaetodon striatus,-34.8167,-7.5667
Chaetodon striatus,-75.8908333,9.8219444
Chaetodon striatus,-44.601,-23.063
Chaetodon striatus,-69,12
Chaetodon striatus,-76.264622,23.900471
Chaetodon striatus,-63.2280006409,17.6496658325
Chaetodon striatus,-82.5333367,25.6666633
Chaetodon striatus,-68.75,12.0166664124
Chaetodon striatus,-80.2583333,14.35
Chaetodon striatus,-61.473705,15.573908
Chaetodon striatus,-82.92205,24.5562333
Chaetodon striatus,-77.333375,26.769066
Chaetodon striatus,-72.143951416,21.3880825043
Chaetodon striatus,-74.4557167,11.0733667
Chaetodon striatus,-87.8297195435,18.2108325958
Chaetodon striatus,-65.59008,18.08964
Chaetodon striatus,-64.95998,18.1877
Chaetodon striatus,-80.1016,24.6684
Chaetodon striatus,-75.585069,10.308042
Chaetodon striatus,-78.0408325195,22.4249992371
Chaetodon striatus,-62.9824981689,17.4640007019
Chaetodon striatus,-38.988333,-18.020278
Chaetodon striatus,-79.271062,25.546335
Chaetodon striatus,-63.431273,18.59398
Chaetodon striatus,-67.93833,18.09872
Chaetodon striatus,-67.978,10.508
Chaetodon striatus,-82.3406906128,24.7805652618
Chaetodon striatus,-64.5823516846,18.4746170044
Chaetodon striatus,-38.600833,-17.715278
Chaetodon striatus,-94.021156311,18.3952617645
Chaetodon striatus,-67.48377,18.37832
Chaetodon striatus,-83.10252,24.65007
Chaetodon striatus,-38.590556,-18.101944
Chaetodon striatus,-75.9833333,17.4
Chaetodon striatus,-63.0079994202,18.0106658936
Chaetodon striatus,-67.20057,18.23353
Chaetodon striatus,-76.9495010376,26.0598335266
Chaetodon striatus,-42.16666667,-22.95
Chaetodon striatus,-75.3924,39.063577
Chaetodon striatus,-37.7667,-4.4333
Chaetodon striatus,-60.9994444444,14.0355555556
Chaetodon striatus,-76.458739,25.332635
Chaetodon striatus,-82.7029190063,21.4814167023
Chaetodon striatus,-65.814482,18.057258
Chaetodon striatus,79,9
Chaetodon striatus,-76.5916976928711,34.2916984558105
Chaetodon striatus,-77.8795166016,18.5240497589
Chaetodon striatus,-74.2397,11.20797
Chaetodon striatus,-40.407,-20.7
Chaetodon striatus,-82.6907272339,27.4702758789
Chaetodon striatus,-38.1666679382,-12.75
Chaetodon striatus,-38.548253,-12.959245
Chaetodon striatus,-79.3630523682,22.7202777863
Chaetodon striatus,-85.9019444,16.4383333
Chaetodon striatus,-77.6508331299,22.177778244
Chaetodon striatus,-60.8933333,14.415
Chaetodon striatus,-66.24744,10.6524
Chaetodon striatus,-68.97967,12.218392
Chaetodon striatus,-81.353104,19.34372
Chaetodon striatus,-83.0500030518,10.0100002289
Chaetodon striatus,-81.6543333,24.4967667
Chaetodon striatus,-79.9995193481,21.7142162323
Chaetodon striatus,-97.0777359009,27.280796051
Chaetodon striatus,-66.062872,17.969617
Chaetodon striatus,-39.091389,-16.895833
Chaetodon striatus,-82.0800018311,16.1599998474
Chaetodon striatus,-66.967880249,17.9118595123
Chaetodon striatus,-76.9884643555,26.3977832794
Chaetodon striatus,-77,26.61666667
Chaetodon striatus,-76.842385,25.5162
Chaetodon striatus,-38.873889,-17.350278
Chaetodon striatus,-38.373845,-13.079663
Chaetodon striatus,-80.3731333,25.0109333
Chaetodon striatus,-80.45,30.4833333
Chaetodon striatus,-87.8837127686,21.5704536438
Chaetodon striatus,-42,-22
Chaetodon striatus,-69.542137146,19.3322200775
Chaetodon striatus,-61.267111,13.260568
Chaetodon striatus,-74.390153,22.564841
Chaetodon striatus,-76.6897964478,18.2696342468
Chaetodon striatus,-41.65,-2.8667
Chaetodon striatus,-97.3691329956,27.3733863831
Chaetodon striatus,-82,12.5
Chaetodon striatus,-78.7520141602,20.6728000641
Chaetodon striatus,-34.9333,-6.8167
Chaetodon striatus,-77.2699966431,33.5999984741
Chaetodon striatus,-87.5333328247,19.1541671753
Chaetodon striatus,-77.5083333,33.5333333
Chaetodon striatus,-82.887260437,23.0251464844
Chaetodon striatus,-59.47444444,13.18333333
Chaetodon striatus,-70.7834701538,20.9859828949
Chaetodon striatus,-72.4745483398,21.6456508636
Chaetodon striatus,-48,-27.5
Chaetodon striatus,-80.442634,23.953101
Chaetodon striatus,-68.214,10.883
Chaetodon striatus,-63.2226676941,17.4629993439
Chaetodon striatus,-87.4630584717,20.0974998474
Chaetodon striatus,-81.9271697998,21.5957832336
Chaetodon striatus,-79.2188644409,20.9701156616
Chaetodon striatus,-38.786712,-13.133886
Chaetodon striatus,-71.2231369019,21.3033504486
Chaetodon striatus,-69.6028,18.4424
Chaetodon striatus,-48,-27
Chaetodon striatus,-66.07686,10.54488
Chaetodon striatus,-82.435578,23.14473
Chaetodon striatus,-35.6946389,-9.6640833
Chaetodon striatus,-41.961548,-22.864986
Chaetodon striatus,-78.9024963379,22.693611145
Chaetodon striatus,-80.9324833,24.72545
Chaetodon striatus,-29.346554,0.97447
